1s+PRES+kuacha	I leave	ninaacha
NEG+3s+PERF+kuagiza	(s)he has not ordered	hajaagiza
3p+PRES+kuagiza	they order	wanaagiza
3p+PAST+kuagiza	they ordered	waliagiza
3p+FUT+kuagiza	they will order	wataagiza
3p+PERF+kuagiza	they have ordered	wameagiza
NEG+3p+PRES+kuagiza	they do not order	hawaagizi
NEG+3p+PAST+kuagiza	they did not order	hawakuagiza
NEG+3p+FUT+kuagiza	they will not order	hawataagiza
NEG+3p+PERF+kuagiza	they have not ordered	hawajaagiza
2s+IMP+kuagiza	order	agiza
2p+IMP+kuagiza	order	agizeni
1s+PRES+kuambia	I tell	ninaambia
1s+PAST+kuambia	I told	niliambia
1s+FUT+kuambia	I will tell	nitaambia
1s+PERF+kuambia	I have told	nimeambia
NEG+1s+PRES+kuambia	I do not tell	siambii
NEG+1s+PAST+kuambia	I did not tell	sikuambia
NEG+1s+FUT+kuambia	I will not tell	sitaambia
NEG+1s+PERF+kuambia	I have not told	sijaambia
1p+PRES+kuambia	we tell	tunaambia
1p+PAST+kuambia	we told	tuliambia
1p+FUT+kuambia	we will tell	tutaambia
1p+PERF+kuambia	we have told	tumeambia
NEG+1p+PRES+kuambia	we do not tell	hatuambii
NEG+1p+PAST+kuambia	we did not tell	hatukuambia
NEG+1p+FUT+kuambia	we will not tell	hatutaambia
NEG+1p+PERF+kuambia	we have not told	hatujaambia
2s+PRES+kuambia	you tell	unaambia
2s+PAST+kuambia	you told	uliambia
2s+FUT+kuambia	you will tell	utaambia
2s+PERF+kuambia	you have told	umeambia
NEG+2s+PRES+kuambia	you do not tell	huambii
NEG+2s+PAST+kuambia	you did not tell	hukuambia
NEG+2s+FUT+kuambia	you will not tell	hutaambia
NEG+2s+PERF+kuambia	you have not told	hujaambia
2p+PRES+kuambia	you tell	mnaambia
2p+PAST+kuambia	you told	mliambia
2p+FUT+kuambia	you will tell	mtaambia
2p+PERF+kuambia	you have told	mmeambia
NEG+2p+PRES+kuambia	you do not tell	hamambii
NEG+2p+PAST+kuambia	you did not tell	hamkuambia
NEG+2p+FUT+kuambia	you will not tell	hamtaambia
NEG+2p+PERF+kuambia	you have not told	hamjaambia
3s+PRES+kuambia	(s)he tells	anaambia
3s+PAST+kuambia	(s)he told	aliambia
3s+FUT+kuambia	(s)he will tell	ataambia
3s+PERF+kuambia	(s)he has told	ameambia
NEG+3s+PRES+kuambia	(s)he does not tell	haambii
NEG+3s+PAST+kuambia	(s)he did not tell	hakuambia
NEG+3s+FUT+kuambia	(s)he will not tell	hataambia
NEG+3s+PERF+kuambia	(s)he has not told	hajaambia
3p+PRES+kuambia	they tell	wanaambia
3p+PAST+kuambia	they told	waliambia
3p+FUT+kuambia	they will tell	wataambia
3p+PERF+kuambia	they have told	wameambia
NEG+3p+PRES+kuambia	they do not tell	hawaambii
NEG+3p+PAST+kuambia	they did not tell	hawakuambia
NEG+3p+FUT+kuambia	they will not tell	hawataambia
NEG+3p+PERF+kuambia	they have not told	hawajaambia
2s+IMP+kuambia	tell	ambia
2p+IMP+kuambia	tell	ambieni
1s+PRES+kuamini	I believe	ninaamini
1s+PAST+kuamini	I believed	niliamini
1s+FUT+kuamini	I will believe	nitaamini
1s+PERF+kuamini	I have believed	nimeamini
NEG+1s+PRES+kuamini	I do not believe	siamini
NEG+1s+PAST+kuamini	I did not believe	sikuamini
NEG+1s+FUT+kuamini	I will not believe	sitaamini
NEG+1s+PERF+kuamini	I have not believed	sijaamini
1p+PRES+kuamini	we believe	tunaamini
1p+PAST+kuamini	we believed	tuliamini
1p+FUT+kuamini	we will believe	tutaamini
1p+PERF+kuamini	we have believed	tumeamini
NEG+1p+PRES+kuamini	we do not believe	hatuamini
NEG+1p+PAST+kuamini	we did not believe	hatukuamini
NEG+1p+FUT+kuamini	we will not believe	hatutaamini
NEG+1p+PERF+kuamini	we have not believed	hatujaamini
2s+PRES+kuamini	you believe	unaamini
2s+PAST+kuamini	you believed	uliamini
2s+FUT+kuamini	you will believe	utaamini
2s+PERF+kuamini	you have believed	umeamini
NEG+2s+PRES+kuamini	you do not believe	huamini
NEG+2s+PAST+kuamini	you did not believe	hukuamini
NEG+2s+FUT+kuamini	you will not believe	hutaamini
NEG+2s+PERF+kuamini	you have not believed	hujaamini
2p+PRES+kuamini	you believe	mnaamini
2p+PAST+kuamini	you believed	mliamini
2p+FUT+kuamini	you will believe	mtaamini
2p+PERF+kuamini	you have believed	mmeamini
NEG+2p+PRES+kuamini	you do not believe	hamamini
NEG+2p+PAST+kuamini	you did not believe	hamkuamini
NEG+2p+FUT+kuamini	you will not believe	hamtaamini
NEG+2p+PERF+kuamini	you have not believed	hamjaamini
3s+PRES+kuamini	(s)he believes	anaamini
3s+PAST+kuamini	(s)he believed	aliamini
3s+FUT+kuamini	(s)he will believe	ataamini
3s+PERF+kuamini	(s)he has believed	ameamini
NEG+3s+PRES+kuamini	(s)he does not believe	haamini
NEG+3s+PAST+kuamini	(s)he did not believe	hakuamini
NEG+3s+FUT+kuamini	(s)he will not believe	hataamini
NEG+3s+PERF+kuamini	(s)he has not believed	hajaamini
3p+PRES+kuamini	they believe	wanaamini
3p+PAST+kuamini	they believed	waliamini
3p+FUT+kuamini	they will believe	wataamini
3p+PERF+kuamini	they have believed	wameamini
NEG+3p+PRES+kuamini	they do not believe	hawaamini
NEG+3p+PAST+kuamini	they did not believe	hawakuamini
NEG+3p+FUT+kuamini	they will not believe	hawataamini
NEG+3p+PERF+kuamini	they have not believed	hawajaamini
2s+IMP+kuamini	believe	amini
2p+IMP+kuamini	believe	aminini
1s+PRES+kuamka	I awaken	ninaamka
1s+PAST+kuamka	I awakened	niliamka
1s+FUT+kuamka	I will awaken	nitaamka
1s+PERF+kuamka	I have awakened	nimeamka
NEG+1s+PRES+kuamka	I do not awaken	siamki
NEG+1s+PAST+kuamka	I did not awaken	sikuamka
NEG+1s+FUT+kuamka	I will not awaken	sitaamka
NEG+1s+PERF+kuamka	I have not awakened	sijaamka
1p+PRES+kuamka	we awaken	tunaamka
1p+PAST+kuamka	we awakened	tuliamka
1p+FUT+kuamka	we will awaken	tutaamka
1p+PERF+kuamka	we have awakened	tumeamka
NEG+1p+PRES+kuamka	we do not awaken	hatuamki
NEG+1p+PAST+kuamka	we did not awaken	hatukuamka
NEG+1p+FUT+kuamka	we will not awaken	hatutaamka
NEG+1p+PERF+kuamka	we have not awakened	hatujaamka
2s+PRES+kuamka	you awaken	unaamka
2s+PAST+kuamka	you awakened	uliamka
2s+FUT+kuamka	you will awaken	utaamka
2s+PERF+kuamka	you have awakened	umeamka
NEG+2s+PRES+kuamka	you do not awaken	huamki
NEG+2s+PAST+kuamka	you did not awaken	hukuamka
NEG+2s+FUT+kuamka	you will not awaken	hutaamka
NEG+2s+PERF+kuamka	you have not awakened	hujaamka
2p+PRES+kuamka	you awaken	mnaamka
2p+PAST+kuamka	you awakened	mliamka
2p+FUT+kuamka	you will awaken	mtaamka
2p+PERF+kuamka	you have awakened	mmeamka
NEG+2p+PRES+kuamka	you do not awaken	hamamki
NEG+2p+PAST+kuamka	you did not awaken	hamkuamka
NEG+2p+FUT+kuamka	you will not awaken	hamtaamka
NEG+2p+PERF+kuamka	you have not awakened	hamjaamka
3s+PRES+kuamka	(s)he awakens	anaamka
3s+PAST+kuamka	(s)he awakened	aliamka
3s+FUT+kuamka	(s)he will awaken	ataamka
3s+PERF+kuamka	(s)he has awakened	ameamka
NEG+3s+PRES+kuamka	(s)he does not awaken	haamki
NEG+3s+PAST+kuamka	(s)he did not awaken	hakuamka
NEG+3s+FUT+kuamka	(s)he will not awaken	hataamka
NEG+3s+PERF+kuamka	(s)he has not awakened	hajaamka
3p+PRES+kuamka	they awaken	wanaamka
3p+PAST+kuamka	they awakened	waliamka
3p+FUT+kuamka	they will awaken	wataamka
3p+PERF+kuamka	they have awakened	wameamka
NEG+3p+PRES+kuamka	they do not awaken	hawaamki
NEG+3p+PAST+kuamka	they did not awaken	hawakuamka
NEG+3p+FUT+kuamka	they will not awaken	hawataamka
NEG+3p+PERF+kuamka	they have not awakened	hawajaamka
2s+IMP+kuamka	awaken	amka
2p+IMP+kuamka	awaken	amkeni
1s+PRES+kuamua	I decide	ninaamua
1s+PAST+kuamua	I decided	niliamua
1s+FUT+kuamua	I will decide	nitaamua
1s+PERF+kuamua	I have decided	nimeamua
NEG+1s+PRES+kuamua	I do not decide	siamui
NEG+1s+PAST+kuamua	I did not decide	sikuamua
NEG+1s+FUT+kuamua	I will not decide	sitaamua
NEG+1s+PERF+kuamua	I have not decided	sijaamua
1p+PRES+kuamua	we decide	tunaamua
1p+PAST+kuamua	we decided	tuliamua
1p+FUT+kuamua	we will decide	tutaamua
1p+PERF+kuamua	we have decided	tumeamua
NEG+1p+PRES+kuamua	we do not decide	hatuamui
NEG+1p+PAST+kuamua	we did not decide	hatukuamua
NEG+1p+FUT+kuamua	we will not decide	hatutaamua
NEG+1p+PERF+kuamua	we have not decided	hatujaamua
2s+PRES+kuamua	you decide	unaamua
2s+PAST+kuamua	you decided	uliamua
2s+FUT+kuamua	you will decide	utaamua
2s+PERF+kuamua	you have decided	umeamua
NEG+2s+PRES+kuamua	you do not decide	huamui
NEG+2s+PAST+kuamua	you did not decide	hukuamua
NEG+2s+FUT+kuamua	you will not decide	hutaamua
NEG+2s+PERF+kuamua	you have not decided	hujaamua
2p+PRES+kuamua	you decide	mnaamua
2p+PAST+kuamua	you decided	mliamua
2p+FUT+kuamua	you will decide	mtaamua
2p+PERF+kuamua	you have decided	mmeamua
NEG+2p+PRES+kuamua	you do not decide	hamamui
NEG+2p+PAST+kuamua	you did not decide	hamkuamua
NEG+2p+FUT+kuamua	you will not decide	hamtaamua
NEG+2p+PERF+kuamua	you have not decided	hamjaamua
3s+PRES+kuamua	(s)he decides	anaamua
3s+PAST+kuamua	(s)he decided	aliamua
3s+FUT+kuamua	(s)he will decide	ataamua
3s+PERF+kuamua	(s)he has decided	ameamua
NEG+3s+PRES+kuamua	(s)he does not decide	haamui
NEG+3s+PAST+kuamua	(s)he did not decide	hakuamua
NEG+3s+FUT+kuamua	(s)he will not decide	hataamua
NEG+3s+PERF+kuamua	(s)he has not decided	hajaamua
3p+PRES+kuamua	they decide	wanaamua
3p+PAST+kuamua	they decided	waliamua
3p+FUT+kuamua	they will decide	wataamua
3p+PERF+kuamua	they have decided	wameamua
NEG+3p+PRES+kuamua	they do not decide	hawaamui
NEG+3p+PAST+kuamua	they did not decide	hawakuamua
NEG+3p+FUT+kuamua	they will not decide	hawataamua
NEG+3p+PERF+kuamua	they have not decided	hawajaamua
2s+IMP+kuamua	decide	amua
2p+IMP+kuamua	decide	amueni
1s+PRES+kuanda	I prepare	ninaanda
1s+PAST+kuanda	I prepared	nilianda
1s+FUT+kuanda	I will prepare	nitaanda
1s+PERF+kuanda	I have prepared	nimeanda
NEG+1s+PRES+kuanda	I do not prepare	siandi
NEG+1s+PAST+kuanda	I did not prepare	sikuanda
NEG+1s+FUT+kuanda	I will not prepare	sitaanda
NEG+1s+PERF+kuanda	I have not prepared	sijaanda
1p+PRES+kuanda	we prepare	tunaanda
1p+PAST+kuanda	we prepared	tulianda
1p+FUT+kuanda	we will prepare	tutaanda
1p+PERF+kuanda	we have prepared	tumeanda
NEG+1p+PRES+kuanda	we do not prepare	hatuandi
NEG+1p+PAST+kuanda	we did not prepare	hatukuanda
NEG+1p+FUT+kuanda	we will not prepare	hatutaanda
NEG+1p+PERF+kuanda	we have not prepared	hatujaanda
2s+PRES+kuanda	you prepare	unaanda
2s+PAST+kuanda	you prepared	ulianda
2s+FUT+kuanda	you will prepare	utaanda
2s+PERF+kuanda	you have prepared	umeanda
NEG+2s+PRES+kuanda	you do not prepare	huandi
NEG+2s+PAST+kuanda	you did not prepare	hukuanda
NEG+2s+FUT+kuanda	you will not prepare	hutaanda
NEG+2s+PERF+kuanda	you have not prepared	hujaanda
2p+PRES+kuanda	you prepare	mnaanda
2p+PAST+kuanda	you prepared	mlianda
2p+FUT+kuanda	you will prepare	mtaanda
2p+PERF+kuanda	you have prepared	mmeanda
NEG+2p+PRES+kuanda	you do not prepare	hamandi
NEG+2p+PAST+kuanda	you did not prepare	hamkuanda
NEG+2p+FUT+kuanda	you will not prepare	hamtaanda
NEG+2p+PERF+kuanda	you have not prepared	hamjaanda
3s+PRES+kuanda	(s)he prepares	anaanda
3s+PAST+kuanda	(s)he prepared	alianda
3s+FUT+kuanda	(s)he will prepare	ataanda
3s+PERF+kuanda	(s)he has prepared	ameanda
NEG+3s+PRES+kuanda	(s)he does not prepare	haandi
NEG+3s+PAST+kuanda	(s)he did not prepare	hakuanda
NEG+3s+FUT+kuanda	(s)he will not prepare	hataanda
NEG+3s+PERF+kuanda	(s)he has not prepared	hajaanda
3p+PRES+kuanda	they prepare	wanaanda
3p+PAST+kuanda	they prepared	walianda
3p+FUT+kuanda	they will prepare	wataanda
3p+PERF+kuanda	they have prepared	wameanda
NEG+3p+PRES+kuanda	they do not prepare	hawaandi
NEG+3p+PAST+kuanda	they did not prepare	hawakuanda
NEG+3p+FUT+kuanda	they will not prepare	hawataanda
NEG+3p+PERF+kuanda	they have not prepared	hawajaanda
2s+IMP+kuanda	prepare	anda
2p+IMP+kuanda	prepare	andeni
1s+PRES+kuandika	I write	ninaandika
1s+PAST+kuandika	I wrote	niliandika
1s+FUT+kuandika	I will write	nitaandika
1s+PERF+kuandika	I have written	nimeandika
NEG+1s+PRES+kuandika	I do not write	siandiki
NEG+1s+PAST+kuandika	I did not write	sikuandika
NEG+1s+FUT+kuandika	I will not write	sitaandika
NEG+1s+PERF+kuandika	I have not written	sijaandika
1p+PRES+kuandika	we write	tunaandika
1p+PAST+kuandika	we wrote	tuliandika
1p+FUT+kuandika	we will write	tutaandika
1p+PERF+kuandika	we have written	tumeandika
NEG+1p+PRES+kuandika	we do not write	hatuandiki
NEG+1p+PAST+kuandika	we did not write	hatukuandika
NEG+1p+FUT+kuandika	we will not write	hatutaandika
NEG+1p+PERF+kuandika	we have not written	hatujaandika
2s+PRES+kuandika	you write	unaandika
2s+PAST+kuandika	you wrote	uliandika
2s+FUT+kuandika	you will write	utaandika
2s+PERF+kuandika	you have written	umeandika
NEG+2s+PRES+kuandika	you do not write	huandiki
NEG+2s+PAST+kuandika	you did not write	hukuandika
NEG+2s+FUT+kuandika	you will not write	hutaandika
NEG+2s+PERF+kuandika	you have not written	hujaandika
2p+PRES+kuandika	you write	mnaandika
2p+PAST+kuandika	you wrote	mliandika
2p+FUT+kuandika	you will write	mtaandika
2p+PERF+kuandika	you have written	mmeandika
NEG+2p+PRES+kuandika	you do not write	hamandiki
NEG+2p+PAST+kuandika	you did not write	hamkuandika
NEG+2p+FUT+kuandika	you will not write	hamtaandika
NEG+2p+PERF+kuandika	you have not written	hamjaandika
3s+PRES+kuandika	(s)he writes	anaandika
3s+PAST+kuandika	(s)he wrote	aliandika
3s+FUT+kuandika	(s)he will write	ataandika
3s+PERF+kuandika	(s)he has written	ameandika
NEG+3s+PRES+kuandika	(s)he does not write	haandiki
NEG+3s+PAST+kuandika	(s)he did not write	hakuandika
NEG+3s+FUT+kuandika	(s)he will not write	hataandika
NEG+3s+PERF+kuandika	(s)he has not written	hajaandika
3p+PRES+kuandika	they write	wanaandika
3p+PAST+kuandika	they wrote	waliandika
3p+FUT+kuandika	they will write	wataandika
3p+PERF+kuandika	they have written	wameandika
NEG+3p+PRES+kuandika	they do not write	hawaandiki
NEG+3p+PAST+kuandika	they did not write	hawakuandika
NEG+3p+FUT+kuandika	they will not write	hawataandika
NEG+3p+PERF+kuandika	they have not written	hawajaandika
2s+IMP+kuandika	write	andika
2p+IMP+kuandika	write	andikeni
1s+PRES+kuangalia	I look	ninaangalia
1s+PAST+kuangalia	I looked	niliangalia
1s+FUT+kuangalia	I will look	nitaangalia
1s+PERF+kuangalia	I have looked	nimeangalia
NEG+1s+PRES+kuangalia	I do not look	siangalii
NEG+1s+PAST+kuangalia	I did not look	sikuangalia
NEG+1s+FUT+kuangalia	I will not look	sitaangalia
NEG+1s+PERF+kuangalia	I have not looked	sijaangalia
1p+PRES+kuangalia	we look	tunaangalia
1p+PAST+kuangalia	we looked	tuliangalia
1p+FUT+kuangalia	we will look	tutaangalia
1p+PERF+kuangalia	we have looked	tumeangalia
NEG+1p+PRES+kuangalia	we do not look	hatuangalii
NEG+1p+PAST+kuangalia	we did not look	hatukuangalia
NEG+1p+FUT+kuangalia	we will not look	hatutaangalia
NEG+1p+PERF+kuangalia	we have not looked	hatujaangalia
2s+PRES+kuangalia	you look	unaangalia
2s+PAST+kuangalia	you looked	uliangalia
2s+FUT+kuangalia	you will look	utaangalia
2s+PERF+kuangalia	you have looked	umeangalia
NEG+2s+PRES+kuangalia	you do not look	huangalii
NEG+2s+PAST+kuangalia	you did not look	hukuangalia
NEG+2s+FUT+kuangalia	you will not look	hutaangalia
NEG+2s+PERF+kuangalia	you have not looked	hujaangalia
2p+PRES+kuangalia	you look	mnaangalia
2p+PAST+kuangalia	you looked	mliangalia
2p+FUT+kuangalia	you will look	mtaangalia
2p+PERF+kuangalia	you have looked	mmeangalia
NEG+2p+PRES+kuangalia	you do not look	hamangalii
NEG+2p+PAST+kuangalia	you did not look	hamkuangalia
NEG+2p+FUT+kuangalia	you will not look	hamtaangalia
NEG+2p+PERF+kuangalia	you have not looked	hamjaangalia
3s+PRES+kuangalia	(s)he looks	anaangalia
3s+PAST+kuangalia	(s)he looked	aliangalia
3s+FUT+kuangalia	(s)he will look	ataangalia
3s+PERF+kuangalia	(s)he has looked	ameangalia
NEG+3s+PRES+kuangalia	(s)he does not look	haangalii
NEG+3s+PAST+kuangalia	(s)he did not look	hakuangalia
NEG+3s+FUT+kuangalia	(s)he will not look	hataangalia
NEG+3s+PERF+kuangalia	(s)he has not looked	hajaangalia
3p+PRES+kuangalia	they look	wanaangalia
3p+PAST+kuangalia	they looked	waliangalia
3p+FUT+kuangalia	they will look	wataangalia
3p+PERF+kuangalia	they have looked	wameangalia
NEG+3p+PRES+kuangalia	they do not look	hawaangalii
NEG+3p+PAST+kuangalia	they did not look	hawakuangalia
NEG+3p+FUT+kuangalia	they will not look	hawataangalia
NEG+3p+PERF+kuangalia	they have not looked	hawajaangalia
2s+IMP+kuangalia	look	angalia
2p+IMP+kuangalia	look	angalieni
1s+PRES+kuanguka	I fall	ninaanguka
1s+PAST+kuanguka	I fell	nilianguka
1s+FUT+kuanguka	I will fall	nitaanguka
1s+PERF+kuanguka	I have fallen	nimeanguka
NEG+1s+PRES+kuanguka	I do not fall	sianguki
NEG+1s+PAST+kuanguka	I did not fall	sikuanguka
NEG+1s+FUT+kuanguka	I will not fall	sitaanguka
NEG+1s+PERF+kuanguka	I have not fallen	sijaanguka
1p+PRES+kuanguka	we fall	tunaanguka
1p+PAST+kuanguka	we fell	tulianguka
1p+FUT+kuanguka	we will fall	tutaanguka
1p+PERF+kuanguka	we have fallen	tumeanguka
NEG+1p+PRES+kuanguka	we do not fall	hatuanguki
NEG+1p+PAST+kuanguka	we did not fall	hatukuanguka
NEG+1p+FUT+kuanguka	we will not fall	hatutaanguka
NEG+1p+PERF+kuanguka	we have not fallen	hatujaanguka
2s+PRES+kuanguka	you fall	unaanguka
2s+PAST+kuanguka	you fell	ulianguka
2s+FUT+kuanguka	you will fall	utaanguka
2s+PERF+kuanguka	you have fallen	umeanguka
NEG+2s+PRES+kuanguka	you do not fall	huanguki
NEG+2s+PAST+kuanguka	you did not fall	hukuanguka
NEG+2s+FUT+kuanguka	you will not fall	hutaanguka
NEG+2s+PERF+kuanguka	you have not fallen	hujaanguka
2p+PRES+kuanguka	you fall	mnaanguka
2p+PAST+kuanguka	you fell	mlianguka
2p+FUT+kuanguka	you will fall	mtaanguka
2p+PERF+kuanguka	you have fallen	mmeanguka
NEG+2p+PRES+kuanguka	you do not fall	hamanguki
NEG+2p+PAST+kuanguka	you did not fall	hamkuanguka
NEG+2p+FUT+kuanguka	you will not fall	hamtaanguka
NEG+2p+PERF+kuanguka	you have not fallen	hamjaanguka
3s+PRES+kuanguka	(s)he falls	anaanguka
3s+PAST+kuanguka	(s)he fell	alianguka
3s+FUT+kuanguka	(s)he will fall	ataanguka
3s+PERF+kuanguka	(s)he has fallen	ameanguka
NEG+3s+PRES+kuanguka	(s)he does not fall	haanguki
NEG+3s+PAST+kuanguka	(s)he did not fall	hakuanguka
NEG+3s+FUT+kuanguka	(s)he will not fall	hataanguka
NEG+3s+PERF+kuanguka	(s)he has not fallen	hajaanguka
3p+PRES+kuanguka	they fall	wanaanguka
3p+PAST+kuanguka	they fell	walianguka
3p+FUT+kuanguka	they will fall	wataanguka
3p+PERF+kuanguka	they have fallen	wameanguka
NEG+3p+PRES+kuanguka	they do not fall	hawaanguki
NEG+3p+PAST+kuanguka	they did not fall	hawakuanguka
NEG+3p+FUT+kuanguka	they will not fall	hawataanguka
NEG+3p+PERF+kuanguka	they have not fallen	hawajaanguka
2s+IMP+kuanguka	fall	anguka
2p+IMP+kuanguka	fall	angukeni
1s+PRES+kuanza	I start	ninaanza
1s+PAST+kuanza	I started	nilianza
1s+FUT+kuanza	I will start	nitaanza
1s+PERF+kuanza	I have started	nimeanza
NEG+1s+PRES+kuanza	I do not start	sianzi
NEG+1s+PAST+kuanza	I did not start	sikuanza
NEG+1s+FUT+kuanza	I will not start	sitaanza
NEG+1s+PERF+kuanza	I have not started	sijaanza
1p+PRES+kuanza	we start	tunaanza
1p+PAST+kuanza	we started	tulianza
1p+FUT+kuanza	we will start	tutaanza
1p+PERF+kuanza	we have started	tumeanza
NEG+1p+PRES+kuanza	we do not start	hatuanzi
NEG+1p+PAST+kuanza	we did not start	hatukuanza
NEG+1p+FUT+kuanza	we will not start	hatutaanza
NEG+1p+PERF+kuanza	we have not started	hatujaanza
2s+PRES+kuanza	you start	unaanza
2s+PAST+kuanza	you started	ulianza
2s+FUT+kuanza	you will start	utaanza
2s+PERF+kuanza	you have started	umeanza
NEG+2s+PRES+kuanza	you do not start	huanzi
NEG+2s+PAST+kuanza	you did not start	hukuanza
NEG+2s+FUT+kuanza	you will not start	hutaanza
NEG+2s+PERF+kuanza	you have not started	hujaanza
2p+PRES+kuanza	you start	mnaanza
2p+PAST+kuanza	you started	mlianza
2p+FUT+kuanza	you will start	mtaanza
2p+PERF+kuanza	you have started	mmeanza
NEG+2p+PRES+kuanza	you do not start	hamanzi
NEG+2p+PAST+kuanza	you did not start	hamkuanza
NEG+2p+FUT+kuanza	you will not start	hamtaanza
NEG+2p+PERF+kuanza	you have not started	hamjaanza
3s+PRES+kuanza	(s)he starts	anaanza
3s+PAST+kuanza	(s)he started	alianza
3s+FUT+kuanza	(s)he will start	ataanza
3s+PERF+kuanza	(s)he has started	ameanza
NEG+3s+PRES+kuanza	(s)he does not start	haanzi
NEG+3s+PAST+kuanza	(s)he did not start	hakuanza
NEG+3s+FUT+kuanza	(s)he will not start	hataanza
NEG+3s+PERF+kuanza	(s)he has not started	hajaanza
3p+PRES+kuanza	they start	wanaanza
3p+PAST+kuanza	they started	walianza
3p+FUT+kuanza	they will start	wataanza
